date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
7/29,2330,元大證券,9800,8529,3500,5029,7.63,1,buy
7/29,2330,台灣摩根士丹利,1470,2257,10388,-8131,12.34,1,sell
7/29,2330,永豐金證券,0039004100300030,3399,580,2819,4.28,2,buy
7/29,2330,富邦證券,9600,798,2892,-2094,3.18,2,sell
7/29,2330,花旗環球,1590,2767,617,2150,3.26,3,buy
7/29,2330,凱基-台北,9268,2770,4763,-1993,3.02,3,sell
7/29,2330,美林,1440,2876,1138,1738,2.64,4,buy
7/29,2330,港商麥格理,1360,820,2503,-1683,2.55,4,sell
7/29,2330,國泰-敦南,8888,1030,469,561,0.85,5,buy
7/29,2330,美商高盛,1480,1469,3073,-1604,2.43,5,sell
7/29,2330,中國信託,6160,644,339,305,0.46,6,buy
7/29,2330,摩根大通,8440,2639,4189,-1550,2.35,6,sell
7/29,2330,凱基,9200,971,680,291,0.44,7,buy
7/29,2330,永豐金-匯立,0039004100380031,356,1453,-1097,1.66,7,sell
7/29,2330,台灣企銀,1110,211,7,204,0.31,8,buy
7/29,2330,凱基-中山,9229,36,1079,-1043,1.58,8,sell
7/29,2330,香港上海匯豐,8960,240,47,193,0.29,9,buy
7/29,2330,新加坡商瑞銀,1650,3164,4044,-880,1.34,9,sell
7/29,2330,華南永昌,9300,301,141,160,0.24,10,buy
7/29,2330,凱基-城中,9227,24,870,-846,1.28,10,sell
7/29,2330,國泰-館前,0038003800380041,240,94,146,0.22,11,buy
7/29,2330,元大-竹科,003900380030004b,72,606,-534,0.81,11,sell
7/29,2330,台中銀-台北,6115,143,0,143,0.22,12,buy
7/29,2330,宏遠證券,1260,134,598,-464,0.7,12,sell
7/29,2330,玉山-台南,8847,160,26,134,0.2,13,buy
7/29,2330,元大-中和,0039003800390065,20,438,-418,0.63,13,sell
7/29,2330,玉山證券,8840,211,79,132,0.2,14,buy
7/29,2330,法銀巴黎,8900,679,999,-320,0.49,14,sell
7/29,2330,富邦-仁愛,9676,210,92,118,0.18,15,buy
7/29,2330,聯邦證券,8580,32,285,-253,0.38,15,sell
7/29,2317,元大證券,9800,12941,6415,6526,7.8,1,buy
7/29,2317,港商麥格理,1360,651,4604,-3953,4.72,1,sell
7/29,2317,摩根大通,8440,6195,3248,2947,3.52,2,buy
7/29,2317,凱基-台北,9268,4507,7930,-3423,4.09,2,sell
7/29,2317,台灣摩根士丹利,1470,6335,4769,1566,1.87,3,buy
7/29,2317,美商高盛,1480,4281,6403,-2122,2.54,3,sell
7/29,2317,花旗環球,1590,2174,862,1312,1.57,4,buy
7/29,2317,新加坡商瑞銀,1650,3895,5587,-1692,2.02,4,sell
7/29,2317,永豐金證券,0039004100300030,1090,198,892,1.07,5,buy
7/29,2317,台新,0039004200300030,379,1585,-1206,1.44,5,sell
7/29,2317,法銀巴黎,8900,501,7,494,0.59,6,buy
7/29,2317,大和國泰,8890,155,1100,-945,1.13,6,sell
7/29,2317,國泰證券,8880,539,99,440,0.53,7,buy
7/29,2317,群益金鼎,9100,689,1597,-908,1.09,7,sell
7/29,2317,凱基,9200,430,7,423,0.51,8,buy
7/29,2317,中國信託,6160,179,904,-725,0.87,8,sell
7/29,2317,中國信託-高雄,003600310036004b,435,47,388,0.46,9,buy
7/29,2317,美林,1440,4136,4576,-440,0.53,9,sell
7/29,2317,新百王,6210,329,35,294,0.35,10,buy
7/29,2317,港商野村,1560,343,764,-421,0.5,10,sell
7/29,2317,台新-台北,0039004200320030,284,19,265,0.32,11,buy
7/29,2317,台新-緯城,0039004200320041,24,416,-392,0.47,11,sell
7/29,2317,元大-復北,9872,303,73,230,0.27,12,buy
7/29,2317,臺銀,1040,135,386,-251,0.3,12,sell
7/29,2317,康和-台北,0038003400350055,205,7,198,0.24,13,buy
7/29,2317,玉山-大里,003800380034004a,43,259,-216,0.26,13,sell
7/29,2317,宏遠-民生,1261,135,6,129,0.15,14,buy
7/29,2317,凱基-松山,9217,78,291,-213,0.25,14,sell
