date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
7/14,2330,永豐金證券,0039004100300030,2721,638,2083,5.14,1,buy
7/14,2330,摩根大通,8440,1638,5667,-4029,9.93,1,sell
7/14,2330,元大證券,9800,3282,1470,1812,4.47,2,buy
7/14,2330,新加坡商瑞銀,1650,2378,4561,-2183,5.38,2,sell
7/14,2330,凱基,9200,1422,325,1097,2.7,3,buy
7/14,2330,美林,1440,1853,3493,-1640,4.04,3,sell
7/14,2330,國泰-敦南,8888,548,168,380,0.94,4,buy
7/14,2330,港商野村,1560,77,1479,-1402,3.46,4,sell
7/14,2330,群益金鼎,9100,871,500,371,0.91,5,buy
7/14,2330,台灣摩根士丹利,1470,1136,2369,-1233,3.04,5,sell
7/14,2330,凱基-台北,9268,1758,1505,253,0.62,6,buy
7/14,2330,花旗環球,1590,850,1664,-814,2.01,6,sell
7/14,2330,合庫證券,1020,134,10,124,0.31,7,buy
7/14,2330,富邦證券,9600,755,1555,-800,1.97,7,sell
7/14,2330,元大-天母,0039003800310049,135,16,119,0.29,8,buy
7/14,2330,法銀巴黎,8900,111,861,-750,1.85,8,sell
7/14,2330,凱基-中港,9202,125,17,108,0.27,9,buy
7/14,2330,永豐金-匯立,0039004100380031,102,789,-687,1.69,9,sell
7/14,2330,國泰-館前,0038003800380041,150,47,103,0.25,10,buy
7/14,2330,香港上海匯豐,8960,232,869,-637,1.57,10,sell
7/14,2330,中國信託,6160,455,359,96,0.24,11,buy
7/14,2330,台新-台北,0039004200320030,44,473,-429,1.06,11,sell
7/14,2330,土銀,1030,97,5,92,0.23,12,buy
7/14,2330,國泰證券,8880,273,495,-222,0.55,12,sell
7/14,2330,台新,0039004200300030,193,101,92,0.23,13,buy
7/14,2330,福邦證券,6480,1,105,-104,0.26,13,sell
7/14,2330,美商高盛,1480,2082,1991,91,0.22,14,buy
7/14,2330,大和國泰,8890,57,160,-103,0.25,14,sell
7/14,2330,富邦-建國,9658,132,40,92,0.23,15,buy
7/14,2330,永豐金-內湖,0039004100390067,16,109,-93,0.23,15,sell
7/14,2317,元大證券,9800,4106,2114,1992,4.14,1,buy
7/14,2317,凱基-台北,9268,1415,7502,-6087,12.65,1,sell
7/14,2317,花旗環球,1590,1930,692,1238,2.57,2,buy
7/14,2317,美林,1440,2974,4643,-1669,3.47,2,sell
7/14,2317,港商麥格理,1360,1550,479,1071,2.23,3,buy
7/14,2317,摩根大通,8440,2086,3675,-1589,3.3,3,sell
7/14,2317,凱基,9200,975,93,882,1.83,4,buy
7/14,2317,台灣企銀,1110,13,1018,-1005,2.09,4,sell
7/14,2317,元大-彰化,0039003800310047,664,16,648,1.35,5,buy
7/14,2317,美商高盛,1480,3547,4156,-609,1.27,5,sell
7/14,2317,永豐金證券,0039004100300030,1253,675,578,1.2,6,buy
7/14,2317,富邦證券,9600,203,652,-449,0.93,6,sell
7/14,2317,香港上海匯豐,8960,427,0,427,0.89,7,buy
7/14,2317,統一,5850,126,532,-406,0.84,7,sell
7/14,2317,港商野村,1560,470,134,336,0.7,8,buy
