date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/10,2330,元大證券,9800,1609,513,1096,5.75,1,buy
9/10,2330,港商野村,1560,277,2492,-2215,11.62,1,sell
9/10,2330,摩根大通,8440,2313,1558,755,3.96,2,buy
9/10,2330,永豐金證券,0039004100300030,108,1875,-1767,9.27,2,sell
9/10,2330,富邦證券,9600,1234,485,749,3.93,3,buy
9/10,2330,法銀巴黎,8900,8,1365,-1357,7.12,3,sell
9/10,2330,凱基-台北,9268,528,286,242,1.27,4,buy
9/10,2330,台灣摩根士丹利,1470,1147,1707,-560,2.94,4,sell
9/10,2330,香港上海匯豐,8960,266,45,221,1.16,5,buy
9/10,2330,港商麥格理,1360,526,968,-442,2.32,5,sell
9/10,2330,美林,1440,792,574,218,1.14,6,buy
9/10,2330,新加坡商瑞銀,1650,559,792,-233,1.22,6,sell
9/10,2330,富邦-陽明,9604,230,13,217,1.14,7,buy
9/10,2330,花旗環球,1590,525,757,-232,1.22,7,sell
9/10,2330,國泰-敦南,8888,278,86,192,1.01,8,buy
9/10,2330,永豐金-松山,0039004100390031,24,164,-140,0.73,8,sell
9/10,2330,永豐金-匯立,0039004100380031,293,128,165,0.87,9,buy
9/10,2330,群益金鼎-中山,0039003100380048,4,121,-117,0.61,9,sell
9/10,2330,元大-中崙,9813,120,3,117,0.61,10,buy
9/10,2330,群益金鼎,9100,151,267,-116,0.61,10,sell
9/10,2330,富邦-仁愛,9676,120,9,111,0.58,11,buy
9/10,2330,國泰證券,8880,84,177,-93,0.49,11,sell
9/10,2330,美商高盛,1480,1215,1120,95,0.5,12,buy
9/10,2330,統一-高雄,5851,3,65,-62,0.33,12,sell
9/10,2330,統一,5850,105,29,76,0.4,13,buy
9/10,2330,玉山-台南,8847,31,68,-37,0.19,13,sell
9/10,2330,新光,8560,125,54,71,0.37,14,buy
9/10,2330,元大-向上,9824,3,40,-37,0.19,14,sell
9/10,2330,兆豐證券,7000,172,101,71,0.37,15,buy
9/10,2330,元大-鳳山,003900380033005a,3,32,-29,0.15,15,sell
9/10,2317,港商野村,1560,3013,107,2906,7.46,1,buy
9/10,2317,港商麥格理,1360,310,6951,-6641,17.04,1,sell
9/10,2317,富邦證券,9600,1911,202,1709,4.39,2,buy
9/10,2317,摩根大通,8440,3579,5850,-2271,5.83,2,sell
9/10,2317,新加坡商瑞銀,1650,2115,897,1218,3.13,3,buy
9/10,2317,台灣摩根士丹利,1470,2792,3609,-817,2.1,3,sell
9/10,2317,元大-華山,0039003800310055,538,0,538,1.38,4,buy
9/10,2317,美林,1440,1595,2067,-472,1.21,4,sell
9/10,2317,美商高盛,1480,3059,2617,442,1.13,5,buy
9/10,2317,國泰證券,8880,1131,1407,-276,0.71,5,sell
9/10,2317,花旗環球,1590,534,176,358,0.92,6,buy
9/10,2317,臺銀,1040,19,254,-235,0.6,6,sell
9/10,2317,永豐金-匯立,0039004100380031,474,173,301,0.77,7,buy
9/10,2317,凱基-台北,9268,767,888,-121,0.31,7,sell
9/10,2317,(牛牛牛)亞-鑫豐,0036003000310064,159,16,143,0.37,8,buy
9/10,2317,台新-安南,003900420032005a,14,110,-96,0.25,8,sell
9/10,2317,國泰-台南,8884,200,60,140,0.36,9,buy
9/10,2317,中國信託-高雄,003600310036004b,24,117,-93,0.24,9,sell
9/10,2317,凱基,9200,189,50,139,0.36,10,buy
9/10,2317,富邦-南屯,9666,22,114,-92,0.24,10,sell
9/10,2317,群益金鼎,9100,275,138,137,0.35,11,buy
