date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/02,2330,永豐金-匯立,0039004100380031,1235,361,874,3.73,1,buy
9/02,2330,法銀巴黎,8900,163,4403,-4240,18.08,1,sell
9/02,2330,凱基-台北,9268,1142,474,668,2.85,2,buy
9/02,2330,美林,1440,246,2706,-2460,10.49,2,sell
9/02,2330,港商麥格理,1360,895,343,552,2.35,3,buy
9/02,2330,美商高盛,1480,465,2508,-2043,8.71,3,sell
9/02,2330,國泰-敦南,8888,525,107,418,1.78,4,buy
9/02,2330,摩根大通,8440,1232,3254,-2022,8.62,4,sell
9/02,2330,凱基-信義,9216,257,1,256,1.09,5,buy
9/02,2330,台灣摩根士丹利,1470,882,2516,-1634,6.97,5,sell
9/02,2330,中國信託,6160,481,283,198,0.84,6,buy
9/02,2330,元大證券,9800,442,1017,-575,2.45,6,sell
9/02,2330,凱基,9200,261,82,179,0.76,7,buy
9/02,2330,花旗環球,1590,182,648,-466,1.99,7,sell
9/02,2330,新光,8560,224,83,141,0.6,8,buy
9/02,2330,新加坡商瑞銀,1650,591,946,-355,1.51,8,sell
9/02,2330,第一金-台中,5382,132,2,130,0.55,9,buy
9/02,2330,永豐金證券,0039004100300030,193,489,-296,1.26,9,sell
9/02,2330,台新,0039004200300030,158,32,126,0.54,10,buy
9/02,2330,香港上海匯豐,8960,73,218,-145,0.62,10,sell
9/02,2330,統一-仁愛,0035003800350063,112,0,112,0.48,11,buy
9/02,2330,港商野村,1560,20,134,-114,0.49,11,sell
9/02,2330,第一金-高雄,5383,104,1,103,0.44,12,buy
9/02,2330,凱基-雙和,0039003200300043,121,155,-34,0.14,12,sell
9/02,2330,國泰-台中,8882,113,15,98,0.42,13,buy
9/02,2330,兆豐證券,7000,16,38,-22,0.09,13,sell
9/02,2330,國泰-館前,0038003800380041,109,14,95,0.41,14,buy
9/02,2330,(牛牛牛)亞證券,6010,0,22,-22,0.09,14,sell
9/02,2330,國泰-板橋,003800380038004b,107,15,92,0.39,15,buy
9/02,2330,兆豐-忠孝,0037003000300061,53,68,-15,0.06,15,sell
9/02,2317,凱基,9200,1370,108,1262,4.42,1,buy
9/02,2317,摩根大通,8440,786,6766,-5980,20.96,1,sell
9/02,2317,美商高盛,1480,2280,1268,1012,3.55,2,buy
9/02,2317,元大證券,9800,1441,4298,-2857,10.01,2,sell
9/02,2317,美林,1440,1154,436,718,2.52,3,buy
9/02,2317,富邦證券,9600,181,862,-681,2.39,3,sell
9/02,2317,大和國泰,8890,600,17,583,2.04,4,buy
9/02,2317,國票-南京,003700370039006e,10,504,-494,1.73,4,sell
9/02,2317,港商麥格理,1360,615,193,422,1.48,5,buy
9/02,2317,新加坡商瑞銀,1650,1360,1797,-437,1.53,5,sell
9/02,2317,台新-台北,0039004200320030,213,2,211,0.74,6,buy
9/02,2317,中國信託-高雄,003600310036004b,45,382,-337,1.18,6,sell
9/02,2317,台新,0039004200300030,292,86,206,0.72,7,buy
9/02,2317,統一,5850,34,361,-327,1.15,7,sell
9/02,2317,富邦-頭份,0039003600320050,204,4,200,0.7,8,buy
9/02,2317,群益金鼎,9100,61,354,-293,1.03,8,sell
9/02,2317,國泰-敦南,8888,344,161,183,0.64,9,buy
9/02,2317,永豐金證券,0039004100300030,180,441,-261,0.91,9,sell
9/02,2317,玉山-新莊,8842,194,55,139,0.49,10,buy
9/02,2317,凱基-台北,9268,584,817,-233,0.82,10,sell
9/02,2317,中國信託-永康,6163,130,7,123,0.43,11,buy
9/02,2317,永豐金-匯立,0039004100380031,275,484,-209,0.73,11,sell
9/02,2317,元大-內湖,003900380039004e,124,11,113,0.4,12,buy
9/02,2317,花旗環球,1590,27,231,-204,0.72,12,sell
9/02,2317,新光,8560,219,111,108,0.38,13,buy
9/02,2317,法銀巴黎,8900,93,280,-187,0.66,13,sell
9/02,2317,台新-三民,0039004200310033,111,5,106,0.37,14,buy
9/02,2317,凱基-台中,9204,11,178,-167,0.59,14,sell
9/02,2317,國票證券,7790,110,26,84,0.29,15,buy
9/02,2317,香港上海匯豐,8960,94,176,-82,0.29,15,sell
9/02,2454,美林,1440,2937,559,2378,10.09,1,buy
9/02,2454,台灣摩根士丹利,1470,400,2278,-1878,7.97,1,sell
9/02,2454,新加坡商瑞銀,1650,1088,514,574,2.44,2,buy
9/02,2454,富邦證券,9600,468,1461,-993,4.21,2,sell
9/02,2454,元大證券,9800,2030,1794,236,1.0,3,buy
9/02,2454,凱基-台北,9268,957,1720,-763,3.24,3,sell
9/02,2454,元大-板橋,0039003800390043,159,11,148,0.63,4,buy
9/02,2454,港商麥格理,1360,367,884,-517,2.19,4,sell
9/02,2454,宏遠證券,1260,118,3,115,0.49,5,buy
9/02,2454,台新-五權西,0039004200320035,10,496,-486,2.06,5,sell
9/02,2454,群益金鼎,9100,346,242,104,0.44,6,buy
9/02,2454,統一,5850,342,698,-356,1.51,6,sell
9/02,2454,永豐金證券,0039004100300030,283,197,86,0.37,7,buy
9/02,2454,摩根大通,8440,1144,1445,-301,1.28,7,sell
9/02,2454,台新-西松,003900420032006e,87,4,83,0.35,8,buy
9/02,2454,台新-台北,0039004200320030,34,254,-220,0.93,8,sell
9/02,2454,新光,8560,158,82,76,0.32,9,buy
9/02,2454,元大-土城永寧,9875,55,234,-179,0.76,9,sell
9/02,2454,富邦-南屯,9666,90,21,69,0.29,10,buy
9/02,2454,法銀巴黎,8900,6,154,-148,0.63,10,sell
9/02,2454,凱基-市府,0039003200300044,73,8,65,0.28,11,buy
9/02,2454,凱基-信義,9216,116,254,-138,0.59,11,sell
9/02,2454,群益金鼎-新莊,0039003100380047,70,9,61,0.26,12,buy
9/02,2454,國票-安和,003700370039005a,53,180,-127,0.54,12,sell
9/02,2454,台新-城東,0039004200320072,64,12,52,0.22,13,buy
9/02,2454,凱基-城中,9227,16,117,-101,0.43,13,sell
9/02,2454,大和國泰,8890,52,4,48,0.2,14,buy
9/02,2454,凱基,9200,249,324,-75,0.32,14,sell
9/02,2454,統一-新台中,0035003800350044,54,8,46,0.2,15,buy
9/02,2454,康和,8450,36,106,-70,0.3,15,sell
9/02,2308,國泰-敦南,8888,477,85,392,2.45,1,buy
9/02,2308,摩根大通,8440,314,2074,-1760,11.02,1,sell
9/02,2308,凱基,9200,251,134,117,0.73,2,buy
9/02,2308,台灣摩根士丹利,1470,254,2014,-1760,11.02,2,sell
9/02,2308,土銀,1030,111,0,111,0.69,3,buy
9/02,2308,美商高盛,1480,163,1544,-1381,8.65,3,sell
9/02,2308,國泰-台中,8882,112,24,88,0.55,4,buy
9/02,2308,元大證券,9800,1839,2354,-515,3.22,4,sell
9/02,2308,富邦-仁愛,9676,83,8,75,0.47,5,buy
9/02,2308,新加坡商瑞銀,1650,152,624,-472,2.95,5,sell
9/02,2308,國泰-板橋,003800380038004b,90,15,75,0.47,6,buy
9/02,2308,美林,1440,573,1034,-461,2.89,6,sell
9/02,2308,新光,8560,225,158,67,0.42,7,buy
9/02,2308,統一,5850,61,497,-436,2.73,7,sell
9/02,2308,統一-新台中,0035003800350044,63,2,61,0.38,8,buy
9/02,2308,港商野村,1560,53,277,-224,1.4,8,sell
9/02,2308,富邦-板橋,9655,61,6,55,0.34,9,buy
9/02,2308,富邦證券,9600,63,286,-223,1.4,9,sell
9/02,2308,玉山-高雄,8843,60,6,54,0.34,10,buy
9/02,2308,群益金鼎,9100,113,308,-195,1.22,10,sell
9/02,2308,國泰-館前,0038003800380041,69,16,53,0.33,11,buy
9/02,2308,香港上海匯豐,8960,21,181,-160,1.0,11,sell
9/02,2308,富邦-中壢,9636,57,6,51,0.32,12,buy
9/02,2308,群益金鼎-忠孝,0039003100380057,7,139,-132,0.83,12,sell
9/02,2308,玉山-新莊,8842,55,4,51,0.32,13,buy
9/02,2308,宏遠證券,1260,19,138,-119,0.74,13,sell
9/02,2308,富邦-建國,9658,60,10,50,0.31,14,buy
9/02,2308,花旗環球,1590,71,179,-108,0.68,14,sell
9/02,2308,華南永昌-台中,9302,111,61,50,0.31,15,buy
9/02,2308,康和,8450,12,115,-103,0.64,15,sell
9/02,2382,美商高盛,1480,789,45,744,7.9,1,buy
9/02,2382,摩根大通,8440,376,2183,-1807,19.18,1,sell
9/02,2382,新加坡商瑞銀,1650,812,94,718,7.62,2,buy
9/02,2382,國票-敦北法人,0037003700390063,2,1301,-1299,13.79,2,sell
9/02,2382,台新-基隆,0039004200320053,708,1,707,7.51,3,buy
9/02,2382,台灣摩根士丹利,1470,395,743,-348,3.69,3,sell
9/02,2382,凱基,9200,401,42,359,3.81,4,buy
9/02,2382,元大-台中,9812,1,301,-300,3.18,4,sell
9/02,2382,群益金鼎,9100,362,70,292,3.1,5,buy
9/02,2382,玉山證券,8840,16,314,-298,3.16,5,sell
9/02,2382,華南永昌,9300,222,19,203,2.15,6,buy
9/02,2382,法銀巴黎,8900,9,228,-219,2.32,6,sell
9/02,2382,美林,1440,436,238,198,2.1,7,buy
9/02,2382,國泰證券,8880,4,200,-196,2.08,7,sell
9/02,2382,富邦-永和,9654,181,6,175,1.86,8,buy
9/02,2382,凱基-台北,9268,218,312,-94,1.0,8,sell
9/02,2382,花旗環球,1590,401,243,158,1.68,9,buy
9/02,2382,永豐金證券,0039004100300030,36,119,-83,0.88,9,sell
9/02,2382,永豐金-匯立,0039004100380031,168,10,158,1.68,10,buy
9/02,2382,港商野村,1560,79,143,-64,0.68,10,sell
9/02,2382,元大證券,9800,827,677,150,1.59,11,buy
9/02,2382,元大-景美,0039003800340048,1,61,-60,0.64,11,sell
9/02,2382,中國信託,6160,121,14,107,1.14,12,buy
9/02,2382,香港上海匯豐,8960,17,74,-57,0.61,12,sell
9/02,2382,元大-內湖,003900380039004e,106,29,77,0.82,13,buy
9/02,2382,第一金-自由,0035003300380045,8,44,-36,0.38,13,sell
9/02,2382,港商麥格理,1360,86,11,75,0.8,14,buy
9/02,2382,彰銀,1230,1,32,-31,0.33,14,sell
9/02,2382,凱基-城中,9227,56,0,56,0.59,15,buy
9/02,2382,富邦證券,9600,3,32,-29,0.31,15,sell
9/02,2891,統一,5850,2579,51,2528,7.57,1,buy
9/02,2891,香港上海匯豐,8960,130,4131,-4001,11.98,1,sell
9/02,2891,元大證券,9800,4531,2010,2521,7.55,2,buy
9/02,2891,華南永昌-中正,9359,11,2509,-2498,7.48,2,sell
9/02,2891,花旗環球,1590,3115,816,2299,6.89,3,buy
9/02,2891,美林,1440,649,2410,-1761,5.27,3,sell
9/02,2891,永豐金-匯立,0039004100380031,2240,24,2216,6.64,4,buy
9/02,2891,台新-台北,0039004200320030,10,1041,-1031,3.09,4,sell
9/02,2891,美商高盛,1480,4698,2904,1794,5.37,5,buy
9/02,2891,大和國泰,8890,0,1000,-1000,3.0,5,sell
9/02,2891,凱基-台北,9268,2868,1578,1290,3.86,6,buy
9/02,2891,法銀巴黎,8900,62,599,-537,1.61,6,sell
9/02,2891,台灣摩根士丹利,1470,2808,2324,484,1.45,7,buy
9/02,2891,台新-府城,0039004200320039,1,460,-459,1.37,7,sell
9/02,2891,群益金鼎,9100,241,65,176,0.53,8,buy
9/02,2891,台新-高雄,0039004200310067,19,450,-431,1.29,8,sell
9/02,2891,港商野村,1560,157,17,140,0.42,9,buy
9/02,2891,永豐金證券,0039004100300030,197,475,-278,0.83,9,sell
9/02,2891,國泰-松江,8883,136,6,130,0.39,10,buy
9/02,2891,中國信託,6160,21,204,-183,0.55,10,sell
9/02,2891,摩根大通,8440,2048,1949,99,0.3,11,buy
9/02,2891,港商麥格理,1360,955,1076,-121,0.36,11,sell
9/02,2891,國泰-敦南,8888,186,114,72,0.22,12,buy
9/02,2891,元大-仁愛,003900380033006a,2,102,-100,0.3,12,sell
9/02,2891,中國信託-永康,6163,77,7,70,0.21,13,buy
9/02,2891,新加坡商瑞銀,1650,1562,1649,-87,0.26,13,sell
9/02,2891,第一金-桃園,5385,50,2,48,0.14,14,buy
9/02,2891,永豐金-松山,0039004100390031,1,87,-86,0.26,14,sell
9/02,2891,凱基-羅東,9258,45,0,45,0.13,15,buy
9/02,2891,國泰證券,8880,8,87,-79,0.24,15,sell
9/02,2881,永豐金-匯立,0039004100380031,1179,6,1173,9.0,1,buy
9/02,2881,台灣摩根士丹利,1470,190,1620,-1430,10.97,1,sell
9/02,2881,摩根大通,8440,2727,1882,845,6.48,2,buy
9/02,2881,美商高盛,1480,2273,2898,-625,4.8,2,sell
9/02,2881,富邦證券,9600,656,0,656,5.03,3,buy
9/02,2881,玉山證券,8840,7,497,-490,3.76,3,sell
9/02,2881,新加坡商瑞銀,1650,735,172,563,4.32,4,buy
9/02,2881,兆豐證券,7000,0,424,-424,3.25,4,sell
9/02,2881,元大-內湖,003900380039004e,228,4,224,1.72,5,buy
9/02,2881,第一金-新興,0035003300380041,1,250,-249,1.91,5,sell
9/02,2881,兆豐-城中,0037003000300057,871,653,218,1.67,6,buy
9/02,2881,法銀巴黎,8900,71,213,-142,1.09,6,sell
9/02,2881,中國信託,6160,196,23,173,1.33,7,buy
9/02,2881,花旗環球,1590,23,135,-112,0.86,7,sell
9/02,2881,港商野村,1560,321,242,79,0.61,8,buy
9/02,2881,元大證券,9800,559,667,-108,0.83,8,sell
9/02,2881,港商麥格理,1360,77,0,77,0.59,9,buy
9/02,2881,永豐金證券,0039004100300030,142,247,-105,0.81,9,sell
9/02,2881,香港上海匯豐,8960,80,21,59,0.45,10,buy
9/02,2881,合庫-台南,1022,5,106,-101,0.77,10,sell
9/02,2881,元大-南崁,0039003800300051,51,1,50,0.38,11,buy
9/02,2881,元大-中壢,9834,6,105,-99,0.76,11,sell
9/02,2881,凱基-信義,9216,41,0,41,0.31,12,buy
9/02,2881,國票-敦北法人,0037003700390063,0,58,-58,0.45,12,sell
9/02,2881,元大-大同,0039003800390047,32,0,32,0.25,13,buy
9/02,2881,元大-北屯,0039003800390064,0,50,-50,0.38,13,sell
9/02,2881,(牛牛牛)亞-鑫豐,0036003000310064,39,8,31,0.24,14,buy
9/02,2881,合庫-鳳山,1029,0,50,-50,0.38,14,sell
9/02,2881,富邦-中壢,9636,36,5,31,0.24,15,buy
9/02,2881,凱基-台北,9268,685,716,-31,0.24,15,sell
9/02,2882,花旗環球,1590,4347,1156,3191,13.37,1,buy
9/02,2882,台灣摩根士丹利,1470,181,4011,-3830,16.04,1,sell
9/02,2882,富邦證券,9600,2944,403,2541,10.64,2,buy
9/02,2882,凱基-台北,9268,725,3208,-2483,10.4,2,sell
9/02,2882,兆豐證券,7000,1196,0,1196,5.01,3,buy
9/02,2882,美林,1440,359,1212,-853,3.57,3,sell
9/02,2882,合庫-台中,1021,500,0,500,2.09,4,buy
9/02,2882,國泰-館前,0038003800380041,34,637,-603,2.53,4,sell
9/02,2882,元大證券,9800,1910,1581,329,1.38,5,buy
9/02,2882,新加坡商瑞銀,1650,1812,2411,-599,2.51,5,sell
9/02,2882,華南永昌-敦南,9347,300,0,300,1.26,6,buy
9/02,2882,美商高盛,1480,1316,1854,-538,2.25,6,sell
9/02,2882,永豐金-匯立,0039004100380031,272,29,243,1.02,7,buy
9/02,2882,法銀巴黎,8900,68,488,-420,1.76,7,sell
9/02,2882,中國信託,6160,225,25,200,0.84,8,buy
9/02,2882,凱基-彰化,0039003200300047,2,390,-388,1.63,8,sell
9/02,2882,致和-金華,7034,132,0,132,0.55,9,buy
9/02,2882,港商麥格理,1360,53,290,-237,0.99,9,sell
9/02,2882,統一,5850,118,6,112,0.47,10,buy
9/02,2882,群益金鼎-三重,0039003100330067,2,238,-236,0.99,10,sell
9/02,2882,國泰證券,8880,109,1,108,0.45,11,buy
9/02,2882,兆豐-鹿港,0037003000300066,7,180,-173,0.72,11,sell
9/02,2882,台新-虎尾,003900420032004e,107,0,107,0.45,12,buy
9/02,2882,港商野村,1560,4,92,-88,0.37,12,sell
9/02,2882,群益金鼎-大安,0039003100380065,102,0,102,0.43,13,buy
9/02,2882,永豐金證券,0039004100300030,165,252,-87,0.36,13,sell
9/02,2882,土銀-和平,1038,67,0,67,0.28,14,buy
9/02,2882,富邦-台北,9623,46,127,-81,0.34,14,sell
9/02,2882,群益金鼎-館前,0039003100330059,462,400,62,0.26,15,buy
9/02,2882,元大-仁愛,003900380033006a,4,70,-66,0.28,15,sell
9/02,2303,富邦證券,9600,5522,2003,3519,2.58,1,buy
9/02,2303,摩根大通,8440,1644,17386,-15742,11.55,1,sell
9/02,2303,國泰-敦南,8888,3599,1718,1881,1.38,2,buy
9/02,2303,元大證券,9800,5131,13335,-8204,6.02,2,sell
9/02,2303,統一,5850,1880,255,1625,1.19,3,buy
9/02,2303,台灣摩根士丹利,1470,1358,8782,-7424,5.45,3,sell
9/02,2303,大和國泰,8890,1250,21,1229,0.9,4,buy
9/02,2303,花旗環球,1590,138,4613,-4475,3.28,4,sell
9/02,2303,富邦-台北,9623,1044,223,821,0.6,5,buy
9/02,2303,美商高盛,1480,3449,7025,-3576,2.62,5,sell
9/02,2303,元大-士林,003900380031006a,846,39,807,0.59,6,buy
9/02,2303,美林,1440,1008,4581,-3573,2.62,6,sell
9/02,2303,元大-民生三民,0039003800390058,1033,496,537,0.39,7,buy
9/02,2303,港商野村,1560,420,3620,-3200,2.35,7,sell
9/02,2303,新光,8560,1124,614,510,0.37,8,buy
9/02,2303,凱基-站前,0039003200300046,245,2868,-2623,1.92,8,sell
9/02,2303,國泰-高雄,8881,645,152,493,0.36,9,buy
9/02,2303,凱基,9200,216,2146,-1930,1.42,9,sell
9/02,2303,國泰-板橋,003800380038004b,763,305,458,0.34,10,buy
9/02,2303,國票-安和,003700370039005a,112,1603,-1491,1.09,10,sell
9/02,2303,富邦-陽明,9604,714,281,433,0.32,11,buy
