date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/11,2330,港商麥格理,1360,2521,122,2399,14.23,1,buy
8/11,2330,台灣摩根士丹利,1470,924,2230,-1306,7.75,1,sell
8/11,2330,凱基-台北,9268,1542,347,1195,7.09,2,buy
8/11,2330,花旗環球,1590,985,1767,-782,4.64,2,sell
8/11,2330,美林,1440,1915,856,1059,6.28,3,buy
8/11,2330,元大證券,9800,341,880,-539,3.2,3,sell
8/11,2330,新加坡商瑞銀,1650,1091,319,772,4.58,4,buy
8/11,2330,富邦證券,9600,142,544,-402,2.38,4,sell
8/11,2330,凱基,9200,665,18,647,3.84,5,buy
8/11,2330,永豐金-匯立,0039004100380031,340,596,-256,1.52,5,sell
8/11,2330,永豐金證券,0039004100300030,438,128,310,1.84,6,buy
8/11,2330,法銀巴黎,8900,63,307,-244,1.45,6,sell
8/11,2330,港商野村,1560,336,60,276,1.64,7,buy
8/11,2330,德信,6910,4,202,-198,1.17,7,sell
8/11,2330,美商高盛,1480,1138,863,275,1.63,8,buy
8/11,2330,中國信託-忠孝,6162,3,127,-124,0.74,8,sell
8/11,2330,元大-中和,0039003800390065,204,3,201,1.19,9,buy
8/11,2330,兆豐-忠孝,0037003000300061,5,125,-120,0.71,9,sell
8/11,2330,香港上海匯豐,8960,237,56,181,1.07,10,buy
8/11,2330,國泰-敦南,8888,59,173,-114,0.68,10,sell
8/11,2330,摩根大通,8440,744,626,118,0.7,11,buy
8/11,2330,群益金鼎-大安,0039003100380065,0,111,-111,0.66,11,sell
8/11,2330,大和國泰,8890,140,50,90,0.53,12,buy
8/11,2330,統一,5850,44,149,-105,0.62,12,sell
8/11,2330,兆豐-新竹,0037003000300056,91,12,79,0.47,13,buy
8/11,2330,台新,0039004200300030,33,116,-83,0.49,13,sell
8/11,2330,台新-台北,0039004200320030,86,12,74,0.44,14,buy
8/11,2330,第一金-高雄,5383,3,82,-79,0.47,14,sell
8/11,2330,國泰證券,8880,76,4,72,0.43,15,buy
8/11,2330,新光,8560,67,144,-77,0.46,15,sell
8/11,2317,美林,1440,3474,949,2525,10.27,1,buy
8/11,2317,花旗環球,1590,246,2883,-2637,10.72,1,sell
8/11,2317,台灣摩根士丹利,1470,1715,1080,635,2.58,2,buy
8/11,2317,摩根大通,8440,948,1541,-593,2.41,2,sell
8/11,2317,國泰證券,8880,512,83,429,1.74,3,buy
8/11,2317,新加坡商瑞銀,1650,1445,1861,-416,1.69,3,sell
8/11,2317,凱基,9200,370,215,155,0.63,4,buy
8/11,2317,統一,5850,29,360,-331,1.35,4,sell
8/11,2317,群益金鼎,9100,219,97,122,0.5,5,buy
8/11,2317,美商高盛,1480,1063,1321,-258,1.05,5,sell
8/11,2317,港商麥格理,1360,257,140,117,0.48,6,buy
8/11,2317,元大證券,9800,1794,2023,-229,0.93,6,sell
8/11,2317,元大-信義,003900380039006d,111,1,110,0.45,7,buy
8/11,2317,台新-三民,0039004200310033,9,210,-201,0.82,7,sell
8/11,2317,新百王,6210,117,10,107,0.44,8,buy
8/11,2317,群益金鼎-基隆,0039003100330045,5,196,-191,0.78,8,sell
8/11,2317,兆豐證券,7000,106,3,103,0.42,9,buy
8/11,2317,永豐金-匯立,0039004100380031,795,977,-182,0.74,9,sell
8/11,2317,元大-館前,003900380034004b,94,4,90,0.37,10,buy
8/11,2317,兆豐-新竹,0037003000300056,19,136,-117,0.48,10,sell
8/11,2317,凱基-台北,9268,847,765,82,0.33,11,buy
8/11,2317,凱基-新店,0039003200300056,1,110,-109,0.44,11,sell
8/11,2317,港商野村,1560,79,9,70,0.28,12,buy
8/11,2317,大昌,6460,5,102,-97,0.39,12,sell
8/11,2317,元大-松江,9801,87,20,67,0.27,13,buy
8/11,2317,台新-松德,0039004200320061,14,107,-93,0.38,13,sell
8/11,2317,法銀巴黎,8900,67,2,65,0.26,14,buy
8/11,2317,元大-天母,0039003800310049,23,109,-86,0.35,14,sell
8/11,2317,元大-北三重,0039003800390056,64,4,60,0.24,15,buy
8/11,2317,富邦-三峽,003900360032004a,19,101,-82,0.33,15,sell
8/11,2454,新加坡商瑞銀,1650,1318,360,958,12.52,1,buy
8/11,2454,富邦證券,9600,191,490,-299,3.91,1,sell
8/11,2454,永豐金-匯立,0039004100380031,876,124,752,9.83,2,buy
8/11,2454,美商高盛,1480,124,410,-286,3.74,2,sell
8/11,2454,中國信託,6160,262,28,234,3.06,3,buy
8/11,2454,摩根大通,8440,283,493,-210,2.74,3,sell
8/11,2454,台灣摩根士丹利,1470,411,294,117,1.53,4,buy
8/11,2454,花旗環球,1590,130,312,-182,2.38,4,sell
8/11,2454,凱基-台北,9268,487,371,116,1.52,5,buy
8/11,2454,國泰證券,8880,48,167,-119,1.56,5,sell
8/11,2454,永豐金證券,0039004100300030,272,187,85,1.11,6,buy
8/11,2454,元大證券,9800,332,432,-100,1.31,6,sell
8/11,2454,統一,5850,114,42,72,0.94,7,buy
8/11,2454,華南永昌,9300,17,81,-64,0.84,7,sell
8/11,2454,大和國泰,8890,62,3,59,0.77,8,buy
8/11,2454,凱基-市府,0039003200300044,1,57,-56,0.73,8,sell
8/11,2454,國票-台中,0037003700390076,40,2,38,0.5,9,buy
