date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
7/13,2330,花旗環球,1590,3208,1213,1995,5.76,1,buy
7/13,2330,永豐金-匯立,0039004100380031,766,3255,-2489,7.18,1,sell
7/13,2330,新加坡商瑞銀,1650,3890,2848,1042,3.01,2,buy
7/13,2330,富邦證券,9600,572,1846,-1274,3.68,2,sell
7/13,2330,元大證券,9800,1751,1191,560,1.62,3,buy
7/13,2330,美林,1440,1020,1674,-654,1.89,3,sell
7/13,2330,凱基-台北,9268,1117,575,542,1.56,4,buy
7/13,2330,統一,5850,244,795,-551,1.59,4,sell
7/13,2330,大和國泰,8890,309,10,299,0.86,5,buy
7/13,2330,港商野村,1560,437,885,-448,1.29,5,sell
7/13,2330,國泰證券,8880,288,38,250,0.72,6,buy
7/13,2330,摩根大通,8440,4515,4829,-314,0.91,6,sell
7/13,2330,富邦-南京,0039003600310043,241,8,233,0.67,7,buy
7/13,2330,台新-台北,0039004200320030,6,215,-209,0.6,7,sell
7/13,2330,台新,0039004200300030,317,113,204,0.59,8,buy
7/13,2330,統一-內湖,0035003800350062,7,151,-144,0.42,8,sell
7/13,2330,凱基,9200,413,247,166,0.48,9,buy
7/13,2330,宏遠證券,1260,141,218,-77,0.22,9,sell
7/13,2330,法銀巴黎,8900,299,141,158,0.46,10,buy
7/13,2330,元大-羅東,0039003800320041,2,73,-71,0.2,10,sell
7/13,2330,港商麥格理,1360,467,312,155,0.45,11,buy
7/13,2330,美商高盛,1480,1863,1917,-54,0.16,11,sell
7/13,2330,(牛牛牛)亞證券,6010,143,1,142,0.41,12,buy
7/13,2330,臺銀,1040,26,79,-53,0.15,12,sell
7/13,2330,群益金鼎-民權,9131,118,8,110,0.32,13,buy
7/13,2330,永豐金證券,0039004100300030,467,518,-51,0.15,13,sell
7/13,2330,凱基-雙和,0039003200300043,191,98,93,0.27,14,buy
7/13,2330,元大-崇德,0039003800310053,11,56,-45,0.13,14,sell
7/13,2330,群益金鼎,9100,256,166,90,0.26,15,buy
7/13,2330,國票證券,7790,30,72,-42,0.12,15,sell
7/13,2317,摩根大通,8440,6215,3090,3125,8.33,1,buy
7/13,2317,台灣摩根士丹利,1470,672,5913,-5241,13.97,1,sell
7/13,2317,港商麥格理,1360,1896,14,1882,5.02,2,buy
7/13,2317,凱基-台北,9268,2047,3324,-1277,3.4,2,sell
7/13,2317,花旗環球,1590,2506,850,1656,4.42,3,buy
7/13,2317,元大證券,9800,1533,2378,-845,2.25,3,sell
7/13,2317,富邦證券,9600,441,29,412,1.1,4,buy
7/13,2317,美商高盛,1480,2566,3384,-818,2.18,4,sell
7/13,2317,凱基,9200,328,11,317,0.85,5,buy
7/13,2317,台新-城東,0039004200320072,30,805,-775,2.07,5,sell
7/13,2317,永豐金-匯立,0039004100380031,346,39,307,0.82,6,buy
7/13,2317,美林,1440,1781,2532,-751,2.0,6,sell
7/13,2317,大和國泰,8890,261,0,261,0.7,7,buy
7/13,2317,台灣企銀,1110,22,425,-403,1.07,7,sell
7/13,2317,中國信託-高雄,003600310036004b,223,13,210,0.56,8,buy
