date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/31,2330,新加坡商瑞銀,1650,5074,2461,2613,9.01,1,buy
8/31,2330,美商高盛,1480,375,3316,-2941,10.14,1,sell
8/31,2330,台灣摩根士丹利,1470,2820,1574,1246,4.3,2,buy
8/31,2330,摩根大通,8440,2052,4379,-2327,8.02,2,sell
8/31,2330,香港上海匯豐,8960,815,209,606,2.09,3,buy
8/31,2330,港商麥格理,1360,1172,3094,-1922,6.63,3,sell
8/31,2330,美林,1440,2336,1782,554,1.91,4,buy
8/31,2330,永豐金-匯立,0039004100380031,327,1937,-1610,5.55,4,sell
8/31,2330,花旗環球,1590,1222,807,415,1.43,5,buy
8/31,2330,永豐金證券,0039004100300030,126,715,-589,2.03,5,sell
8/31,2330,元大證券,9800,1297,937,360,1.24,6,buy
8/31,2330,法銀巴黎,8900,27,561,-534,1.84,6,sell
8/31,2330,富邦證券,9600,1224,977,247,0.85,7,buy
8/31,2330,凱基-三多,9275,4,385,-381,1.31,7,sell
8/31,2330,凱基-雙和,0039003200300043,190,2,188,0.65,8,buy
8/31,2330,統一,5850,43,386,-343,1.18,8,sell
8/31,2330,國泰-敦南,8888,223,87,136,0.47,9,buy
8/31,2330,凱基-台北,9268,460,643,-183,0.63,9,sell
8/31,2330,宏遠證券,1260,123,20,103,0.36,10,buy
8/31,2330,群益金鼎,9100,54,203,-149,0.51,10,sell
8/31,2330,永豐金-松山,0039004100390031,96,7,89,0.31,11,buy
8/31,2330,凱基,9200,23,138,-115,0.4,11,sell
8/31,2330,臺銀,1040,96,20,76,0.26,12,buy
8/31,2330,兆豐證券,7000,9,82,-73,0.25,12,sell
8/31,2330,土銀,1030,64,1,63,0.22,13,buy
8/31,2330,中國信託,6160,89,155,-66,0.23,13,sell
8/31,2330,第一金-中山,5389,65,2,63,0.22,14,buy
8/31,2330,凱基-站前,0039003200300046,28,88,-60,0.21,14,sell
8/31,2330,國票-南港,7795,63,2,61,0.21,15,buy
8/31,2330,港商野村,1560,223,261,-38,0.13,15,sell
8/31,2317,台灣摩根士丹利,1470,2694,950,1744,4.95,1,buy
8/31,2317,摩根大通,8440,889,7070,-6181,17.55,1,sell
8/31,2317,新加坡商瑞銀,1650,7450,5738,1712,4.86,2,buy
