date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/25,2330,港商麥格理,1360,711,66,645,4.77,1,buy
8/25,2330,富邦證券,9600,310,1327,-1017,7.52,1,sell
8/25,2330,元大證券,9800,833,293,540,3.99,2,buy
8/25,2330,新加坡商瑞銀,1650,701,1418,-717,5.3,2,sell
8/25,2330,凱基,9200,516,1,515,3.81,3,buy
8/25,2330,花旗環球,1590,544,1136,-592,4.38,3,sell
8/25,2330,永豐金-匯立,0039004100380031,536,213,323,2.39,4,buy
8/25,2330,國泰證券,8880,31,293,-262,1.94,4,sell
8/25,2330,凱基-台北,9268,584,391,193,1.43,5,buy
8/25,2330,群益金鼎-北高雄,0039003100330052,0,190,-190,1.41,5,sell
8/25,2330,台灣摩根士丹利,1470,2036,1883,153,1.13,6,buy
8/25,2330,摩根大通,8440,1146,1321,-175,1.29,6,sell
8/25,2330,中國信託,6160,222,91,131,0.97,7,buy
8/25,2330,台新-五權西,0039004200320035,1,139,-138,1.02,7,sell
8/25,2330,統一,5850,176,50,126,0.93,8,buy
8/25,2330,台新-台北,0039004200320030,5,129,-124,0.92,8,sell
8/25,2330,宏遠證券,1260,113,33,80,0.59,9,buy
8/25,2330,凱基-站前,0039003200300046,26,117,-91,0.67,9,sell
8/25,2330,美林,1440,447,372,75,0.55,10,buy
8/25,2330,兆豐-三重,7008,7,38,-31,0.23,10,sell
8/25,2330,永豐金證券,0039004100300030,208,141,67,0.5,11,buy
8/25,2330,凱基-三多,9275,2,33,-31,0.23,11,sell
8/25,2330,第一金-高雄,5383,80,12,68,0.5,12,buy
8/25,2330,凱基-松山,9217,52,80,-28,0.21,12,sell
8/25,2330,港商野村,1560,199,134,65,0.48,13,buy
8/25,2330,美商高盛,1480,511,538,-27,0.2,13,sell
8/25,2330,第一金-中山,5389,53,3,50,0.37,14,buy
8/25,2330,凱基-市政,9239,6,29,-23,0.17,14,sell
8/25,2330,元大-松江,9801,45,1,44,0.33,15,buy
8/25,2330,香港上海匯豐,8960,0,20,-20,0.15,15,sell
8/25,2317,凱基,9200,939,68,871,2.37,1,buy
8/25,2317,美林,1440,503,6331,-5828,15.83,1,sell
8/25,2317,國泰證券,8880,848,168,680,1.85,2,buy
8/25,2317,摩根大通,8440,1224,5305,-4081,11.08,2,sell
8/25,2317,花旗環球,1590,848,290,558,1.52,3,buy
8/25,2317,台灣摩根士丹利,1470,1846,5719,-3873,10.52,3,sell
8/25,2317,國泰-敦南,8888,510,171,339,0.92,4,buy
8/25,2317,美商高盛,1480,1117,4000,-2883,7.83,4,sell
8/25,2317,新百王,6210,329,10,319,0.87,5,buy
8/25,2317,永豐金-匯立,0039004100380031,0,829,-829,2.25,5,sell
8/25,2317,新光,8560,407,120,287,0.78,6,buy
8/25,2317,富邦證券,9600,159,824,-665,1.81,6,sell
8/25,2317,群益金鼎,9100,457,188,269,0.73,7,buy
8/25,2317,凱基-台北,9268,874,1294,-420,1.14,7,sell
8/25,2317,台新,0039004200300030,422,212,210,0.57,8,buy
8/25,2317,港商野村,1560,199,519,-320,0.87,8,sell
8/25,2317,元大證券,9800,3149,2982,167,0.45,9,buy
8/25,2317,港商麥格理,1360,44,314,-270,0.73,9,sell
8/25,2317,中國信託-三重,6161,175,12,163,0.44,10,buy
8/25,2317,統一,5850,120,207,-87,0.24,10,sell
8/25,2317,富邦-新竹,9647,176,15,161,0.44,11,buy
8/25,2317,富邦-內湖,9627,44,110,-66,0.18,11,sell
8/25,2317,中國信託,6160,158,38,120,0.33,12,buy
8/25,2317,台灣企銀,1110,3,58,-55,0.15,12,sell
8/25,2317,第一金-台南,5384,125,10,115,0.31,13,buy
8/25,2317,宏遠-館前,0031003200360055,15,68,-53,0.14,13,sell
8/25,2317,富邦-南屯,9666,135,22,113,0.31,14,buy
8/25,2317,香港上海匯豐,8960,7,50,-43,0.12,14,sell
8/25,2317,富邦-陽明,9604,126,15,111,0.3,15,buy
8/25,2317,玉山-信義,0038003800340043,23,65,-42,0.11,15,sell
8/25,2454,港商麥格理,1360,675,1,674,13.14,1,buy
8/25,2454,兆豐證券,7000,1,301,-300,5.85,1,sell
8/25,2454,富邦證券,9600,453,33,420,8.19,2,buy
8/25,2454,新加坡商瑞銀,1650,221,496,-275,5.36,2,sell
8/25,2454,元大證券,9800,468,343,125,2.44,3,buy
8/25,2454,花旗環球,1590,71,294,-223,4.35,3,sell
8/25,2454,永豐金-匯立,0039004100380031,179,64,115,2.24,4,buy
8/25,2454,台灣摩根士丹利,1470,230,452,-222,4.33,4,sell
