date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date
6/26,2330,法銀巴黎,8900,1420,238,1182,2.49,1,buy,2026-06-26
6/26,2330,新加坡商瑞銀,1650,1395,4483,-3088,6.5,1,sell,2026-06-26
6/26,2330,永豐金證券,0039004100300030,1739,597,1142,2.41,2,buy,2026-06-26
6/26,2330,摩根大通,8440,2278,4981,-2703,5.69,2,sell,2026-06-26
6/26,2330,凱基-中山,9229,1048,41,1007,2.12,3,buy,2026-06-26
6/26,2330,台灣摩根士丹利,1470,529,3169,-2640,5.56,3,sell,2026-06-26
6/26,2330,港商野村,1560,1322,374,948,2.0,4,buy,2026-06-26
6/26,2330,花旗環球,1590,1377,3645,-2268,4.78,4,sell,2026-06-26
6/26,2330,國泰-敦南,8888,832,293,539,1.14,5,buy,2026-06-26
6/26,2330,美商高盛,1480,1112,3348,-2236,4.71,5,sell,2026-06-26
6/26,2330,香港上海匯豐,8960,572,200,372,0.78,6,buy,2026-06-26
6/26,2330,美林,1440,1240,3303,-2063,4.35,6,sell,2026-06-26
6/26,2330,群益金鼎,9100,729,368,361,0.76,7,buy,2026-06-26
6/26,2330,元大證券,9800,3993,5629,-1636,3.45,7,sell,2026-06-26
6/26,2330,港商麥格理,1360,1102,848,254,0.53,8,buy,2026-06-26
6/26,2330,富邦證券,9600,598,1301,-703,1.48,8,sell,2026-06-26
6/26,2330,新光,8560,334,148,186,0.39,9,buy,2026-06-26
6/26,2330,富邦-南京,0039003600310043,42,536,-494,1.04,9,sell,2026-06-26
6/26,2330,中國信託,6160,247,75,172,0.36,10,buy,2026-06-26
6/26,2330,元大-信義,003900380039006d,27,274,-247,0.52,10,sell,2026-06-26
6/26,2330,富邦-新竹,9647,163,18,145,0.31,11,buy,2026-06-26
6/26,2330,國泰證券,8880,142,374,-232,0.49,11,sell,2026-06-26
6/26,2330,國泰-台中,8882,208,64,144,0.3,12,buy,2026-06-26
6/26,2330,兆豐證券,7000,32,198,-166,0.35,12,sell,2026-06-26
6/26,2330,富邦-仁愛,9676,179,47,132,0.28,13,buy,2026-06-26
6/26,2330,康和,8450,17,133,-116,0.24,13,sell,2026-06-26
6/26,2330,華南永昌-古亭,9309,125,9,116,0.24,14,buy,2026-06-26
6/26,2330,永豐金-匯立,0039004100380031,514,610,-96,0.2,14,sell,2026-06-26
6/26,2330,國泰-館前,0038003800380041,173,60,113,0.24,15,buy,2026-06-26
6/26,2330,統一,5850,318,404,-86,0.18,15,sell,2026-06-26
6/26,2317,富邦證券,9600,2000,436,1564,1.96,1,buy,2026-06-26
6/26,2317,摩根大通,8440,671,8966,-8295,10.39,1,sell,2026-06-26
6/26,2317,華南永昌-中正,9359,1171,14,1157,1.45,2,buy,2026-06-26
6/26,2317,台灣摩根士丹利,1470,1001,8280,-7279,9.11,2,sell,2026-06-26
6/26,2317,國泰-敦南,8888,1345,487,858,1.07,3,buy,2026-06-26
6/26,2317,美商高盛,1480,1446,7879,-6433,8.06,3,sell,2026-06-26
6/26,2317,宏遠證券,1260,610,0,610,0.76,4,buy,2026-06-26
6/26,2317,美林,1440,1867,4901,-3034,3.8,4,sell,2026-06-26
6/26,2317,元大-彰化,0039003800310047,523,10,513,0.64,5,buy,2026-06-26
6/26,2317,花旗環球,1590,575,3180,-2605,3.26,5,sell,2026-06-26
6/26,2317,台新,0039004200300030,680,286,394,0.49,6,buy,2026-06-26
6/26,2317,凱基-台北,9268,2612,4709,-2097,2.63,6,sell,2026-06-26
6/26,2317,香港上海匯豐,8960,438,53,385,0.48,7,buy,2026-06-26
6/26,2317,中國信託-高雄,003600310036004b,101,1478,-1377,1.72,7,sell,2026-06-26
6/26,2317,凱基,9200,434,152,282,0.35,8,buy,2026-06-26
6/26,2317,元大證券,9800,4076,4859,-783,0.98,8,sell,2026-06-26
6/26,2317,港商野村,1560,617,337,280,0.35,9,buy,2026-06-26
6/26,2317,富邦-新店,9661,166,836,-670,0.84,9,sell,2026-06-26
6/26,2317,第一金-台南,5384,298,48,250,0.31,10,buy,2026-06-26
6/26,2317,統一,5850,257,907,-650,0.81,10,sell,2026-06-26
6/26,2317,第一金-嘉義,003500330038004d,245,9,236,0.3,11,buy,2026-06-26
6/26,2317,港商麥格理,1360,373,961,-588,0.74,11,sell,2026-06-26
6/26,2317,國泰-高雄,8881,262,45,217,0.27,12,buy,2026-06-26
6/26,2317,第一金-台中,5382,53,517,-464,0.58,12,sell,2026-06-26
6/26,2317,國泰-桃園,8885,340,129,211,0.26,13,buy,2026-06-26
6/26,2317,永豐金-匯立,0039004100380031,502,937,-435,0.54,13,sell,2026-06-26
6/26,2317,富邦-板橋,9655,261,53,208,0.26,14,buy,2026-06-26
6/26,2317,陽信,8710,11,347,-336,0.42,14,sell,2026-06-26
6/26,2317,富邦-仁愛,9676,261,61,200,0.25,15,buy,2026-06-26
6/26,2317,華南永昌,9300,121,395,-274,0.34,15,sell,2026-06-26
6/26,2454,國泰-敦南,8888,632,153,479,1.92,1,buy,2026-06-26
6/26,2454,美商高盛,1480,700,2632,-1932,7.76,1,sell,2026-06-26
6/26,2454,元大-台北,0039003800300068,156,6,150,0.6,2,buy,2026-06-26
6/26,2454,元大證券,9800,2998,4095,-1097,4.41,2,sell,2026-06-26
6/26,2454,富邦-新竹,9647,120,11,109,0.44,3,buy,2026-06-26
6/26,2454,統一,5850,206,938,-732,2.94,3,sell,2026-06-26
6/26,2454,富邦-南員林,0039003600310052,114,5,109,0.44,4,buy,2026-06-26
6/26,2454,凱基-中山,9229,26,739,-713,2.86,4,sell,2026-06-26
6/26,2454,國泰-台中,8882,130,27,103,0.41,5,buy,2026-06-26
6/26,2454,摩根大通,8440,834,1540,-706,2.84,5,sell,2026-06-26
6/26,2454,國泰-板橋,003800380038004b,112,21,91,0.37,6,buy,2026-06-26
6/26,2454,新加坡商瑞銀,1650,462,1046,-584,2.35,6,sell,2026-06-26
6/26,2454,富邦-仁愛,9676,102,13,89,0.36,7,buy,2026-06-26
6/26,2454,群益金鼎,9100,66,646,-580,2.33,7,sell,2026-06-26
6/26,2454,富邦-建國,9658,129,41,88,0.35,8,buy,2026-06-26
6/26,2454,凱基-三多,9275,6,499,-493,1.98,8,sell,2026-06-26
6/26,2454,新光,8560,195,111,84,0.34,9,buy,2026-06-26
6/26,2454,港商麥格理,1360,14,507,-493,1.98,9,sell,2026-06-26
6/26,2454,中國信託-永康,6163,88,7,81,0.33,10,buy,2026-06-26
6/26,2454,台灣摩根士丹利,1470,1229,1648,-419,1.68,10,sell,2026-06-26
6/26,2454,富邦-中壢,9636,84,4,80,0.32,11,buy,2026-06-26
6/26,2454,國票-博愛,003700370039007a,22,293,-271,1.09,11,sell,2026-06-26
6/26,2454,永豐金-匯立,0039004100380031,230,153,77,0.31,12,buy,2026-06-26
6/26,2454,兆豐證券,7000,90,333,-243,0.98,12,sell,2026-06-26
6/26,2454,國泰-館前,0038003800380041,104,29,75,0.3,13,buy,2026-06-26
6/26,2454,美好,5260,10,232,-222,0.89,13,sell,2026-06-26
6/26,2454,富邦-敦南,9663,81,14,67,0.27,14,buy,2026-06-26
6/26,2454,永豐金證券,0039004100300030,581,753,-172,0.69,14,sell,2026-06-26
6/26,2454,永豐金-內湖,0039004100390067,79,16,63,0.25,15,buy,2026-06-26
6/26,2454,大和國泰,8890,17,179,-162,0.65,15,sell,2026-06-26
6/26,2308,美商高盛,1480,2070,1341,729,2.58,1,buy,2026-06-26
6/26,2308,台灣摩根士丹利,1470,1966,6461,-4495,15.91,1,sell,2026-06-26
6/26,2308,凱基-台北,9268,1031,510,521,1.84,2,buy,2026-06-26
6/26,2308,新加坡商瑞銀,1650,1468,2949,-1481,5.24,2,sell,2026-06-26
6/26,2308,摩根大通,8440,1103,608,495,1.75,3,buy,2026-06-26
6/26,2308,群益金鼎,9100,113,975,-862,3.05,3,sell,2026-06-26
6/26,2308,國泰-敦南,8888,599,152,447,1.58,4,buy,2026-06-26
6/26,2308,美林,1440,1045,1907,-862,3.05,4,sell,2026-06-26
6/26,2308,港商麥格理,1360,525,344,181,0.64,5,buy,2026-06-26
6/26,2308,富邦證券,9600,81,643,-562,1.99,5,sell,2026-06-26
6/26,2308,凱基,9200,346,228,118,0.42,6,buy,2026-06-26
6/26,2308,永豐金證券,0039004100300030,336,694,-358,1.27,6,sell,2026-06-26
6/26,2308,中國信託-永康,6163,168,53,115,0.41,7,buy,2026-06-26
6/26,2308,大和國泰,8890,56,355,-299,1.06,7,sell,2026-06-26
6/26,2308,國泰-板橋,003800380038004b,129,33,96,0.34,8,buy,2026-06-26
6/26,2308,永豐金-匯立,0039004100380031,151,430,-279,0.99,8,sell,2026-06-26
6/26,2308,新光,8560,172,89,83,0.29,9,buy,2026-06-26
6/26,2308,國泰證券,8880,35,295,-260,0.92,9,sell,2026-06-26
6/26,2308,國泰-台中,8882,123,43,80,0.28,10,buy,2026-06-26
6/26,2308,台新-台北,0039004200320030,16,224,-208,0.74,10,sell,2026-06-26
6/26,2308,港商野村,1560,279,203,76,0.27,11,buy,2026-06-26
6/26,2308,元大證券,9800,3226,3434,-208,0.74,11,sell,2026-06-26
6/26,2308,富邦-建國,9658,86,11,75,0.27,12,buy,2026-06-26
6/26,2308,兆豐證券,7000,61,265,-204,0.72,12,sell,2026-06-26
6/26,2308,國泰-館前,0038003800380041,110,46,64,0.23,13,buy,2026-06-26
6/26,2308,第一金,5380,47,188,-141,0.5,13,sell,2026-06-26
6/26,2308,富邦-中壢,9636,81,19,62,0.22,14,buy,2026-06-26
6/26,2308,國票-敦北法人,0037003700390063,46,149,-103,0.36,14,sell,2026-06-26
6/26,2308,國泰-高雄,8881,85,26,59,0.21,15,buy,2026-06-26
6/26,2308,第一金-中山,5389,6,101,-95,0.34,15,sell,2026-06-26
6/26,2382,富邦證券,9600,3015,31,2984,14.38,1,buy,2026-06-26
6/26,2382,永豐金-匯立,0039004100380031,13,1788,-1775,8.55,1,sell,2026-06-26
6/26,2382,元大證券,9800,3739,1751,1988,9.58,2,buy,2026-06-26
6/26,2382,群益金鼎,9100,131,1351,-1220,5.88,2,sell,2026-06-26
6/26,2382,康和,8450,606,0,606,2.92,3,buy,2026-06-26
6/26,2382,永豐金證券,0039004100300030,372,1317,-945,4.55,3,sell,2026-06-26
6/26,2382,統一,5850,597,35,562,2.71,4,buy,2026-06-26
6/26,2382,港商麥格理,1360,64,832,-768,3.7,4,sell,2026-06-26
6/26,2382,港商野村,1560,602,79,523,2.52,5,buy,2026-06-26
6/26,2382,新加坡商瑞銀,1650,157,799,-642,3.09,5,sell,2026-06-26
6/26,2382,凱基,9200,451,17,434,2.09,6,buy,2026-06-26
6/26,2382,台灣摩根士丹利,1470,1087,1559,-472,2.27,6,sell,2026-06-26
6/26,2382,凱基-士林,9238,110,6,104,0.5,7,buy,2026-06-26
6/26,2382,花旗環球,1590,195,486,-291,1.4,7,sell,2026-06-26
6/26,2382,群益金鼎-東門,0039003100380044,64,11,53,0.26,8,buy,2026-06-26
6/26,2382,美商高盛,1480,388,556,-168,0.81,8,sell,2026-06-26
6/26,2382,臺銀,1040,62,11,51,0.25,9,buy,2026-06-26
6/26,2382,摩根大通,8440,819,971,-152,0.73,9,sell,2026-06-26
6/26,2382,富邦-仁愛,9676,134,93,41,0.2,10,buy,2026-06-26
6/26,2382,華南永昌-古亭,9309,7,154,-147,0.71,10,sell,2026-06-26
6/26,2382,國票-安和,003700370039005a,53,16,37,0.18,11,buy,2026-06-26
6/26,2382,凱基-台北,9268,1533,1672,-139,0.67,11,sell,2026-06-26
6/26,2382,華南永昌-鶯歌,9319,30,1,29,0.14,12,buy,2026-06-26
6/26,2382,美林,1440,142,270,-128,0.62,12,sell,2026-06-26
6/26,2382,永豐金-竹北,0039004100390050,36,8,28,0.13,13,buy,2026-06-26
6/26,2382,富邦-建國,9658,35,109,-74,0.36,13,sell,2026-06-26
6/26,2382,台新,0039004200300030,94,68,26,0.13,14,buy,2026-06-26
6/26,2382,土銀-玉里,1036,0,72,-72,0.35,14,sell,2026-06-26
6/26,2382,玉山證券,8840,68,42,26,0.13,15,buy,2026-06-26
6/26,2382,國泰-敦南,8888,169,240,-71,0.34,15,sell,2026-06-26
6/26,2891,永豐金-匯立,0039004100380031,6279,210,6069,14.32,1,buy,2026-06-26
6/26,2891,新加坡商瑞銀,1650,2388,12201,-9813,23.15,1,sell,2026-06-26
6/26,2891,摩根大通,8440,5796,1857,3939,9.29,2,buy,2026-06-26
6/26,2891,富邦證券,9600,130,2769,-2639,6.23,2,sell,2026-06-26
6/26,2891,港商麥格理,1360,2670,700,1970,4.65,3,buy,2026-06-26
6/26,2891,元大-北屯,0039003800390064,0,1706,-1706,4.02,3,sell,2026-06-26
6/26,2891,永豐金證券,0039004100300030,1410,29,1381,3.26,4,buy,2026-06-26
6/26,2891,美商高盛,1480,3035,4000,-965,2.28,4,sell,2026-06-26
6/26,2891,元大-中壢,9834,1013,27,986,2.33,5,buy,2026-06-26
6/26,2891,國票-敦北法人,0037003700390063,0,950,-950,2.24,5,sell,2026-06-26
6/26,2891,港商野村,1560,1004,61,943,2.22,6,buy,2026-06-26
6/26,2891,法銀巴黎,8900,127,561,-434,1.02,6,sell,2026-06-26
6/26,2891,凱基-台北,9268,2398,1530,868,2.05,7,buy,2026-06-26
6/26,2891,永豐金-中正,0039004100390055,10,342,-332,0.78,7,sell,2026-06-26
6/26,2891,香港上海匯豐,8960,867,32,835,1.97,8,buy,2026-06-26
6/26,2891,美林,1440,1653,1973,-320,0.75,8,sell,2026-06-26
6/26,2891,台灣摩根士丹利,1470,3163,2339,824,1.94,9,buy,2026-06-26
6/26,2891,元大證券,9800,3776,4093,-317,0.75,9,sell,2026-06-26
6/26,2891,合庫證券,1020,604,3,601,1.42,10,buy,2026-06-26
6/26,2891,康和,8450,2,300,-298,0.7,10,sell,2026-06-26
6/26,2891,宏遠證券,1260,500,0,500,1.18,11,buy,2026-06-26
6/26,2891,元大-中山北路,0039003800300061,2,225,-223,0.53,11,sell,2026-06-26
6/26,2891,華南永昌,9300,461,27,434,1.02,12,buy,2026-06-26
6/26,2891,群益金鼎,9100,205,384,-179,0.42,12,sell,2026-06-26
6/26,2891,花旗環球,1590,1249,918,331,0.78,13,buy,2026-06-26
6/26,2891,大昌,6460,1,137,-136,0.32,13,sell,2026-06-26
6/26,2891,第一金-高雄,5383,102,0,102,0.24,14,buy,2026-06-26
6/26,2891,國泰-敦南,8888,129,227,-98,0.23,14,sell,2026-06-26
6/26,2891,元大-南投,0039003800310044,88,25,63,0.15,15,buy,2026-06-26
6/26,2891,群益金鼎-大甲,0039003100380067,0,91,-91,0.21,15,sell,2026-06-26
6/26,2881,合庫證券,1020,2865,15,2850,9.11,1,buy,2026-06-26
6/26,2881,摩根大通,8440,2325,6814,-4489,14.36,1,sell,2026-06-26
6/26,2881,永豐金-匯立,0039004100380031,2519,427,2092,6.69,2,buy,2026-06-26
6/26,2881,中國信託,6160,38,778,-740,2.37,2,sell,2026-06-26
6/26,2881,富邦證券,9600,1985,1,1984,6.34,3,buy,2026-06-26
6/26,2881,新加坡商瑞銀,1650,643,1356,-713,2.28,3,sell,2026-06-26
6/26,2881,台灣摩根士丹利,1470,4405,2515,1890,6.04,4,buy,2026-06-26
6/26,2881,元大-北屯,0039003800390064,3,602,-599,1.92,4,sell,2026-06-26
6/26,2881,土銀,1030,754,11,743,2.38,5,buy,2026-06-26
6/26,2881,臺銀,1040,12,544,-532,1.7,5,sell,2026-06-26
6/26,2881,港商野村,1560,648,36,612,1.96,6,buy,2026-06-26
6/26,2881,美商高盛,1480,1948,2459,-511,1.63,6,sell,2026-06-26
6/26,2881,永豐金證券,0039004100300030,795,184,611,1.95,7,buy,2026-06-26
6/26,2881,陽信,8710,1,400,-399,1.28,7,sell,2026-06-26
6/26,2881,凱基-台北,9268,3281,2978,303,0.97,8,buy,2026-06-26
6/26,2881,合庫-台中,1021,0,369,-369,1.18,8,sell,2026-06-26
6/26,2881,國泰證券,8880,310,21,289,0.92,9,buy,2026-06-26
6/26,2881,美林,1440,332,607,-275,0.88,9,sell,2026-06-26
6/26,2881,元大-中壢,9834,206,10,196,0.63,10,buy,2026-06-26
6/26,2881,元大-桃興,9894,3,205,-202,0.65,10,sell,2026-06-26
6/26,2881,永豐金-板新,003900410039004a,158,9,149,0.48,11,buy,2026-06-26
6/26,2881,富隆證券,5110,0,200,-200,0.64,11,sell,2026-06-26
6/26,2881,富邦-台北,9623,159,14,145,0.46,12,buy,2026-06-26
6/26,2881,法銀巴黎,8900,0,182,-182,0.58,12,sell,2026-06-26
6/26,2881,凱基,9200,222,89,133,0.43,13,buy,2026-06-26
6/26,2881,元大證券,9800,2188,2353,-165,0.53,13,sell,2026-06-26
6/26,2881,兆豐-城中,0037003000300057,703,584,119,0.38,14,buy,2026-06-26
6/26,2881,台新-虎尾,003900420032004e,0,163,-163,0.52,14,sell,2026-06-26
6/26,2881,台新,0039004200300030,119,15,104,0.33,15,buy,2026-06-26
6/26,2881,元大-新竹經國,9859,1,146,-145,0.46,15,sell,2026-06-26
6/26,2882,凱基-台北,9268,5422,2359,3063,8.14,1,buy,2026-06-26
6/26,2882,摩根大通,8440,1521,5581,-4060,10.79,1,sell,2026-06-26
6/26,2882,土銀,1030,1850,4,1846,4.91,2,buy,2026-06-26
6/26,2882,港商野村,1560,527,3193,-2666,7.09,2,sell,2026-06-26
6/26,2882,合庫證券,1020,1626,8,1618,4.3,3,buy,2026-06-26
6/26,2882,台灣摩根士丹利,1470,1835,4186,-2351,6.25,3,sell,2026-06-26
6/26,2882,美商高盛,1480,3187,2173,1014,2.7,4,buy,2026-06-26
6/26,2882,中國信託,6160,144,1376,-1232,3.27,4,sell,2026-06-26
6/26,2882,永豐金證券,0039004100300030,1014,124,890,2.37,5,buy,2026-06-26
6/26,2882,國票-敦北法人,0037003700390063,1,803,-802,2.13,5,sell,2026-06-26
6/26,2882,國泰-敦南,8888,669,133,536,1.42,6,buy,2026-06-26
6/26,2882,國票證券,7790,13,390,-377,1.0,6,sell,2026-06-26
6/26,2882,陽信,8710,401,0,401,1.07,7,buy,2026-06-26
6/26,2882,美林,1440,416,744,-328,0.87,7,sell,2026-06-26
6/26,2882,元大-松江,9801,201,11,190,0.5,8,buy,2026-06-26
6/26,2882,國泰證券,8880,28,319,-291,0.77,8,sell,2026-06-26
6/26,2882,國泰-板橋,003800380038004b,202,18,184,0.49,9,buy,2026-06-26
6/26,2882,凱基,9200,222,493,-271,0.72,9,sell,2026-06-26
6/26,2882,群益金鼎-大安,0039003100380065,203,39,164,0.44,10,buy,2026-06-26
6/26,2882,凱基-永華,9235,1,270,-269,0.71,10,sell,2026-06-26
6/26,2882,康和,8450,164,0,164,0.44,11,buy,2026-06-26
6/26,2882,台新-台北,0039004200320030,447,702,-255,0.68,11,sell,2026-06-26
6/26,2882,元大-上新莊,0039003800330047,158,0,158,0.42,12,buy,2026-06-26
6/26,2882,富隆證券,5110,0,250,-250,0.66,12,sell,2026-06-26
6/26,2882,華南永昌-大安,9307,188,33,155,0.41,13,buy,2026-06-26
6/26,2882,群益金鼎,9100,270,473,-203,0.54,13,sell,2026-06-26
6/26,2882,凱基-高雄,9206,498,348,150,0.4,14,buy,2026-06-26
6/26,2882,富邦證券,9600,420,599,-179,0.48,14,sell,2026-06-26
6/26,2882,永豐金-匯立,0039004100380031,218,68,150,0.4,15,buy,2026-06-26
6/26,2882,華南永昌,9300,75,205,-130,0.35,15,sell,2026-06-26
6/26,2303,花旗環球,1590,6839,1172,5667,1.49,1,buy,2026-06-26
6/26,2303,元大證券,9800,31867,53016,-21149,5.56,1,sell,2026-06-26
6/26,2303,國泰-敦南,8888,9465,5721,3744,0.98,2,buy,2026-06-26
6/26,2303,富邦證券,9600,8410,26711,-18301,4.81,2,sell,2026-06-26
6/26,2303,美林,1440,9800,6153,3647,0.96,3,buy,2026-06-26
6/26,2303,凱基,9200,3894,16024,-12130,3.19,3,sell,2026-06-26
6/26,2303,摩根大通,8440,14508,11583,2925,0.77,4,buy,2026-06-26
6/26,2303,美商高盛,1480,10518,16989,-6471,1.7,4,sell,2026-06-26
6/26,2303,中國信託,6160,3063,990,2073,0.55,5,buy,2026-06-26
6/26,2303,凱基-台北,9268,17962,21906,-3944,1.04,5,sell,2026-06-26
6/26,2303,新光,8560,4857,3346,1511,0.4,6,buy,2026-06-26
6/26,2303,統一,5850,1605,4772,-3167,0.83,6,sell,2026-06-26
6/26,2303,大和國泰,8890,1399,0,1399,0.37,7,buy,2026-06-26
6/26,2303,富邦-新店,9661,403,3050,-2647,0.7,7,sell,2026-06-26
6/26,2303,港商野村,1560,2471,1301,1170,0.31,8,buy,2026-06-26
6/26,2303,康和,8450,155,2779,-2624,0.69,8,sell,2026-06-26
6/26,2303,台灣摩根士丹利,1470,9209,8189,1020,0.27,9,buy,2026-06-26
6/26,2303,國泰證券,8880,1237,3788,-2551,0.67,9,sell,2026-06-26
6/26,2303,華南永昌,9300,2169,1237,932,0.25,10,buy,2026-06-26
6/26,2303,新加坡商瑞銀,1650,11418,13839,-2421,0.64,10,sell,2026-06-26
6/26,2303,國泰-板橋,003800380038004b,1789,920,869,0.23,11,buy,2026-06-26
6/26,2303,國票-台中,0037003700390076,67,2103,-2036,0.54,11,sell,2026-06-26
6/26,2303,富邦-建國,9658,1303,546,757,0.2,12,buy,2026-06-26
6/26,2303,元大-羅東,0039003800320041,365,2214,-1849,0.49,12,sell,2026-06-26
6/26,2303,台新,0039004200300030,2402,1651,751,0.2,13,buy,2026-06-26
6/26,2303,兆豐-忠孝,0037003000300061,873,2381,-1508,0.4,13,sell,2026-06-26
6/26,2303,富邦-陽明,9604,1098,452,646,0.17,14,buy,2026-06-26
6/26,2303,台新-五權西,0039004200320035,185,1515,-1330,0.35,14,sell,2026-06-26
6/26,2303,群益金鼎-松山,9103,679,37,642,0.17,15,buy,2026-06-26
6/26,2303,國票-敦北法人,0037003700390063,393,1696,-1303,0.34,15,sell,2026-06-26
6/26,3711,美林,1440,5972,1359,4613,10.25,1,buy,2026-06-26
6/26,3711,香港上海匯豐,8960,282,2290,-2008,4.46,1,sell,2026-06-26
6/26,3711,美商高盛,1480,3178,1272,1906,4.23,2,buy,2026-06-26
6/26,3711,摩根大通,8440,2808,4458,-1650,3.66,2,sell,2026-06-26
6/26,3711,富邦證券,9600,2081,387,1694,3.76,3,buy,2026-06-26
6/26,3711,統一,5850,402,1400,-998,2.22,3,sell,2026-06-26
6/26,3711,台灣摩根士丹利,1470,2428,1302,1126,2.5,4,buy,2026-06-26
6/26,3711,群益金鼎,9100,284,1160,-876,1.95,4,sell,2026-06-26
6/26,3711,元大證券,9800,4670,3989,681,1.51,5,buy,2026-06-26
6/26,3711,中國信託,6160,181,777,-596,1.32,5,sell,2026-06-26
6/26,3711,新加坡商瑞銀,1650,2758,2137,621,1.38,6,buy,2026-06-26
6/26,3711,港商麥格理,1360,25,556,-531,1.18,6,sell,2026-06-26
6/26,3711,凱基-台北,9268,2337,1787,550,1.22,7,buy,2026-06-26
6/26,3711,花旗環球,1590,261,675,-414,0.92,7,sell,2026-06-26
6/26,3711,國泰證券,8880,453,40,413,0.92,8,buy,2026-06-26
6/26,3711,華南永昌,9300,175,532,-357,0.79,8,sell,2026-06-26
6/26,3711,永豐金證券,0039004100300030,704,414,290,0.64,9,buy,2026-06-26
6/26,3711,國泰-敦南,8888,597,769,-172,0.38,9,sell,2026-06-26
6/26,3711,凱基,9200,312,65,247,0.55,10,buy,2026-06-26
6/26,3711,台新,0039004200300030,278,415,-137,0.3,10,sell,2026-06-26
6/26,3711,法銀巴黎,8900,260,136,124,0.28,11,buy,2026-06-26
6/26,3711,華南永昌-大安,9307,6,141,-135,0.3,11,sell,2026-06-26
6/26,3711,兆豐證券,7000,131,16,115,0.26,12,buy,2026-06-26
6/26,3711,國票-敦北法人,0037003700390063,12,130,-118,0.26,12,sell,2026-06-26
6/26,3711,大和國泰,8890,73,0,73,0.16,13,buy,2026-06-26
6/26,3711,台新-建北,0039004200310038,50,167,-117,0.26,13,sell,2026-06-26
6/26,3711,台新-松德,0039004200320061,70,11,59,0.13,14,buy,2026-06-26
6/26,3711,台新-五權西,0039004200320035,65,178,-113,0.25,14,sell,2026-06-26
6/26,3711,第一金,5380,72,20,52,0.12,15,buy,2026-06-26
6/26,3711,台新-台北,0039004200320030,38,146,-108,0.24,15,sell,2026-06-26
6/26,2603,台灣摩根士丹利,1470,6842,874,5968,22.34,1,buy,2026-06-26
6/26,2603,統一,5850,33,4724,-4691,17.56,1,sell,2026-06-26
6/26,2603,美商高盛,1480,2413,777,1636,6.12,2,buy,2026-06-26
6/26,2603,富邦證券,9600,5,2961,-2956,11.06,2,sell,2026-06-26
6/26,2603,凱基-台北,9268,2177,1404,773,2.89,3,buy,2026-06-26
6/26,2603,群益金鼎,9100,19,2472,-2453,9.18,3,sell,2026-06-26
6/26,2603,花旗環球,1590,1125,845,280,1.05,4,buy,2026-06-26
6/26,2603,新光-桃園,8565,35,887,-852,3.19,4,sell,2026-06-26
6/26,2603,國泰-敦南,8888,367,161,206,0.77,5,buy,2026-06-26
6/26,2603,元大證券,9800,1272,2108,-836,3.13,5,sell,2026-06-26
6/26,2603,元大-大同,0039003800390047,180,1,179,0.67,6,buy,2026-06-26
6/26,2603,台新,0039004200300030,134,568,-434,1.62,6,sell,2026-06-26
6/26,2603,福邦-新竹,6489,150,0,150,0.56,7,buy,2026-06-26
6/26,2603,港商麥格理,1360,0,313,-313,1.17,7,sell,2026-06-26
6/26,2603,美林,1440,1304,1177,127,0.48,8,buy,2026-06-26
6/26,2603,摩根大通,8440,211,441,-230,0.86,8,sell,2026-06-26
6/26,2603,台新-世貿,0039004200320075,107,6,101,0.38,9,buy,2026-06-26
6/26,2603,永豐金證券,0039004100300030,331,552,-221,0.83,9,sell,2026-06-26
6/26,2603,兆豐-來福,0037003000300043,136,39,97,0.36,10,buy,2026-06-26
6/26,2603,第一金-台中,5382,2,200,-198,0.74,10,sell,2026-06-26
6/26,2603,統一-桃園,0035003800350048,107,11,96,0.36,11,buy,2026-06-26
6/26,2603,宏遠證券,1260,5,200,-195,0.73,11,sell,2026-06-26
6/26,2603,統一-新竹,5857,80,1,79,0.3,12,buy,2026-06-26
6/26,2603,康和,8450,1,146,-145,0.54,12,sell,2026-06-26
6/26,2603,玉山-大里,003800380034004a,88,10,78,0.29,13,buy,2026-06-26
6/26,2603,中國信託,6160,62,206,-144,0.54,13,sell,2026-06-26
6/26,2603,新光-台中,8561,81,5,76,0.28,14,buy,2026-06-26
6/26,2603,永豐金-市政,0039004100390057,64,182,-118,0.44,14,sell,2026-06-26
6/26,2603,國泰-台中,8882,100,27,73,0.27,15,buy,2026-06-26
6/26,2603,永豐金-萬盛,0039004100390032,36,141,-105,0.39,15,sell,2026-06-26
6/26,2609,美商高盛,1480,3258,1986,1272,5.29,1,buy,2026-06-26
6/26,2609,花旗環球,1590,170,3760,-3590,14.93,1,sell,2026-06-26
6/26,2609,元大證券,9800,1598,1066,532,2.21,2,buy,2026-06-26
6/26,2609,新加坡商瑞銀,1650,137,2541,-2404,10.0,2,sell,2026-06-26
6/26,2609,寶盛,5460,315,0,315,1.31,3,buy,2026-06-26
6/26,2609,台灣摩根士丹利,1470,262,1283,-1021,4.25,3,sell,2026-06-26
6/26,2609,元大-員林中山,9835,309,3,306,1.27,4,buy,2026-06-26
6/26,2609,美林,1440,173,1046,-873,3.63,4,sell,2026-06-26
6/26,2609,群益金鼎-忠孝,0039003100380057,238,2,236,0.98,5,buy,2026-06-26
6/26,2609,凱基-台北,9268,1070,1939,-869,3.61,5,sell,2026-06-26
