date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/14,2330,群益金鼎,9100,717,8,709,3.31,1,buy
9/14,2330,凱基-台北,9268,201,3196,-2995,13.96,1,sell
9/14,2330,國泰-敦南,8888,447,52,395,1.84,2,buy
9/14,2330,新加坡商瑞銀,1650,499,2267,-1768,8.24,2,sell
9/14,2330,華南永昌,9300,320,29,291,1.36,3,buy
9/14,2330,美商高盛,1480,239,1942,-1703,7.94,3,sell
9/14,2330,凱基,9200,351,67,284,1.32,4,buy
9/14,2330,港商野村,1560,640,2040,-1400,6.53,4,sell
9/14,2330,台新,0039004200300030,219,58,161,0.75,5,buy
9/14,2330,台灣摩根士丹利,1470,686,1917,-1231,5.74,5,sell
9/14,2330,土銀,1030,145,0,145,0.68,6,buy
9/14,2330,港商麥格理,1360,267,996,-729,3.4,6,sell
9/14,2330,彰銀,1230,119,1,118,0.55,7,buy
9/14,2330,摩根大通,8440,879,1465,-586,2.73,7,sell
9/14,2330,臺銀,1040,141,25,116,0.54,8,buy
9/14,2330,美林,1440,155,623,-468,2.18,8,sell
9/14,2330,國泰-台中,8882,129,17,112,0.52,9,buy
9/14,2330,富邦證券,9600,54,411,-357,1.66,9,sell
9/14,2330,國泰-板橋,003800380038004b,110,7,103,0.48,10,buy
9/14,2330,國票-敦北法人,0037003700390063,16,325,-309,1.44,10,sell
9/14,2330,元大-新竹經國,9859,97,4,93,0.43,11,buy
9/14,2330,第一金,5380,30,260,-230,1.07,11,sell
9/14,2330,新光,8560,162,69,93,0.43,12,buy
9/14,2330,永豐金證券,0039004100300030,263,467,-204,0.95,12,sell
9/14,2330,元大-天母,0039003800310049,95,5,90,0.42,13,buy
9/14,2330,群益金鼎-北高雄,0039003100330052,6,178,-172,0.8,13,sell
9/14,2330,華南永昌-中正,9359,86,2,84,0.39,14,buy
9/14,2330,法銀巴黎,8900,55,219,-164,0.76,14,sell
9/14,2330,玉山證券,8840,108,30,78,0.36,15,buy
9/14,2330,永豐金-匯立,0039004100380031,152,273,-121,0.56,15,sell
9/14,2317,摩根大通,8440,3228,614,2614,11.74,1,buy
9/14,2317,台灣摩根士丹利,1470,962,3353,-2391,10.74,1,sell
9/14,2317,港商野村,1560,2081,368,1713,7.7,2,buy
9/14,2317,新加坡商瑞銀,1650,1379,1974,-595,2.67,2,sell
9/14,2317,國泰證券,8880,1025,4,1021,4.59,3,buy
9/14,2317,港商麥格理,1360,181,757,-576,2.59,3,sell
9/14,2317,統一,5850,424,27,397,1.78,4,buy
9/14,2317,永豐金-匯立,0039004100380031,183,714,-531,2.39,4,sell
9/14,2317,元大證券,9800,1205,851,354,1.59,5,buy
9/14,2317,美林,1440,787,1156,-369,1.66,5,sell
9/14,2317,群益金鼎,9100,294,19,275,1.24,6,buy
