date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/11,2330,永豐金-匯立,0039004100380031,1196,328,868,4.14,1,buy
9/11,2330,港商野村,1560,232,1875,-1643,7.83,1,sell
9/11,2330,凱基,9200,496,5,491,2.34,2,buy
9/11,2330,元大證券,9800,1274,2759,-1485,7.08,2,sell
9/11,2330,富邦證券,9600,631,239,392,1.87,3,buy
9/11,2330,港商麥格理,1360,17,1495,-1478,7.05,3,sell
9/11,2330,國泰-敦南,8888,376,90,286,1.36,4,buy
9/11,2330,摩根大通,8440,1096,2424,-1328,6.33,4,sell
9/11,2330,群益金鼎-北高雄,0039003100330052,213,0,213,1.02,5,buy
9/11,2330,美商高盛,1480,427,1254,-827,3.94,5,sell
9/11,2330,法銀巴黎,8900,247,57,190,0.91,6,buy
9/11,2330,新加坡商瑞銀,1650,249,972,-723,3.45,6,sell
9/11,2330,彰銀,1230,131,2,129,0.61,7,buy
9/11,2330,永豐金證券,0039004100300030,245,919,-674,3.21,7,sell
9/11,2330,香港上海匯豐,8960,352,231,121,0.58,8,buy
9/11,2330,花旗環球,1590,79,751,-672,3.2,8,sell
9/11,2330,第一金-高雄,5383,116,4,112,0.53,9,buy
9/11,2330,台灣摩根士丹利,1470,729,1165,-436,2.08,9,sell
9/11,2330,台新-基隆,0039004200320053,103,1,102,0.49,10,buy
9/11,2330,國泰證券,8880,111,462,-351,1.67,10,sell
9/11,2330,富邦-新竹,9647,91,5,86,0.41,11,buy
9/11,2330,美林,1440,656,907,-251,1.2,11,sell
9/11,2330,合庫-基隆,1025,86,0,86,0.41,12,buy
9/11,2330,統一,5850,34,224,-190,0.91,12,sell
9/11,2330,新光,8560,166,89,77,0.37,13,buy
9/11,2330,國票證券,7790,19,155,-136,0.65,13,sell
9/11,2330,元大-天母,0039003800310049,76,2,74,0.35,14,buy
9/11,2330,台新,0039004200300030,161,255,-94,0.45,14,sell
9/11,2330,玉山證券,8840,92,20,72,0.34,15,buy
9/11,2330,兆豐證券,7000,79,164,-85,0.41,15,sell
9/11,2317,港商野村,1560,1462,231,1231,5.09,1,buy
9/11,2317,摩根大通,8440,2004,4079,-2075,8.59,1,sell
9/11,2317,港商麥格理,1360,969,0,969,4.01,2,buy
9/11,2317,台灣摩根士丹利,1470,889,2286,-1397,5.78,2,sell
9/11,2317,國泰證券,8880,1018,102,916,3.79,3,buy
9/11,2317,元大-虎尾,003900380030006c,8,951,-943,3.9,3,sell
9/11,2317,元大證券,9800,2118,1506,612,2.53,4,buy
9/11,2317,永豐金-匯立,0039004100380031,301,968,-667,2.76,4,sell
9/11,2317,國票-博愛,003700370039007a,206,1,205,0.85,5,buy
9/11,2317,新加坡商瑞銀,1650,1225,1742,-517,2.14,5,sell
9/11,2317,永豐金-屏東,0039004100360039,114,2,112,0.46,6,buy
9/11,2317,永豐金證券,0039004100300030,289,802,-513,2.12,6,sell
9/11,2317,香港上海匯豐,8960,204,100,104,0.43,7,buy
9/11,2317,富邦證券,9600,188,684,-496,2.05,7,sell
9/11,2317,法銀巴黎,8900,123,22,101,0.42,8,buy
9/11,2317,凱基-台北,9268,299,693,-394,1.63,8,sell
9/11,2317,凱基-台南,9211,118,23,95,0.39,9,buy
9/11,2317,美林,1440,604,894,-290,1.2,9,sell
9/11,2317,富邦-建國,9658,124,33,91,0.38,10,buy
